area,methods,path,handler_module,handler_name,source_file,source_line,template,auth_required,js_callers
admin,POST,/admin/users/{user_id}/reset-password,web.routes.tenant_users,reset_tenant_user_password,web/routes/tenant_users.py,443,_partials/tenant_users_section.html,session,0
admin,POST,/admin/users/{user_id}/role,web.routes.tenant_users,change_tenant_user_role,web/routes/tenant_users.py,489,_partials/tenant_users_section.html,session,0
admin,GET,/api/data-import/section,web.routes.data_import,get_data_import_section,web/routes/data_import.py,467,_partials/data_import_section.html,session,0
admin,POST,/api/data-import/section/upload,web.routes.data_import,post_data_import_section_upload,web/routes/data_import.py,480,_partials/data_import_preview.html;_partials/data_import_upload_form.html,session,0
admin,GET,/api/data-import/section/upload/{upload_id},web.routes.data_import,get_data_import_section_upload,web/routes/data_import.py,590,_partials/data_import_preview.html;_partials/data_import_upload_form.html,session,0
admin,POST,/api/data-uploads/{upload_id}/import-as-investments,web.routes.data_import,post_import_upload_as_investments,web/routes/data_import.py,773,,session,1
admin|front_office,POST,/api/market-data/refresh-now,web.routes.market_data,refresh_now,web/routes/market_data.py,372,_partials/market_data_panel.html;_partials/overview_refresh_result.html,session,0
admin|front_office,GET,/api/market-data/refresh/poll,web.routes.market_data,poll_refresh,web/routes/market_data.py,484,_partials/market_data_panel.html,session,0
admin|front_office,POST,/api/market-data/schedule,web.routes.market_data,save_schedule,web/routes/market_data.py,275,_partials/market_data_panel.html,session,0
admin|front_office,GET,/api/overview/refresh/poll,web.routes.overview,poll_overview_refresh,web/routes/overview.py,328,_partials/overview_error.html;_partials/overview_section.html,session,0
assistants,GET,/assistants,web.routes.areas,assistants_view,web/routes/areas.py,451,areas/assistants.html;_partials/area_fragment.html,session,0
assistants,POST,/scraper/runs,web.routes.scraper,scraper_run_start,web/routes/scraper.py,472,_partials/scraper_run_mount.html,session,0
assistants,POST,/scraper/runs/{run_id}/cancel,web.routes.scraper,scraper_run_cancel,web/routes/scraper.py,571,,session,1
assistants,GET,/scraper/runs/{run_id}/stream,web.routes.scraper,scraper_run_stream,web/routes/scraper.py,748,_partials/scraper_progress.html;_partials/scraper_results.html,session,1
assistants,GET,/scraper/section,web.routes.scraper,scraper_section,web/routes/scraper.py,380,_partials/scraper_section.html,session,0
back_office,GET,/api/back-office/benchmarks-attribution/section,web.routes.benchmarks_attribution,get_benchmarks_attribution_section,web/routes/benchmarks_attribution.py,338,_partials/benchmarks_attribution_error.html;_partials/benchmarks_attribution_section.html,session,0
back_office,GET,/api/back-office/benchmarks-attribution/stage-a/investment-detail,web.routes.benchmarks_attribution,get_stage_a_investment_detail,web/routes/benchmarks_attribution.py,428,_partials/benchmarks_attribution_stage_a_detail_row.html,session,1
back_office,GET,/api/back-office/benchmarks-attribution/stage-c/configuration-switch,web.routes.benchmarks_attribution,get_stage_c_configuration_switch,web/routes/benchmarks_attribution.py,556,_partials/benchmarks_attribution_stage_c_controls.html,session,0
back_office,GET,/api/back-office/benchmarks-attribution/stage-c/hypothetical,web.routes.benchmarks_attribution,get_stage_c_hypothetical,web/routes/benchmarks_attribution.py,517,_partials/benchmarks_attribution_stage_c_chart.html,session,0
back_office,GET,/api/back-office/limits/section,web.routes.limits,get_limits_section,web/routes/limits.py,232,_partials/limits_error.html;_partials/limits_section.html,session,0
